x,y,vessel_count
628045.4331893444,3459055.905745316,4
628045.4331893444,3459130.905745316,3
628045.4331893444,3459205.905745316,1
628120.4331893444,3423655.905745316,1
628120.4331893444,3423730.905745316,2
628120.4331893444,3423805.905745316,1
628120.4331893444,3423880.905745316,3
628120.4331893444,3423955.905745316,6
628120.4331893444,3424030.905745316,7
628120.4331893444,3424105.905745316,14
628120.4331893444,3424180.905745316,18
628120.4331893444,3424255.905745316,42
628120.4331893444,3424330.905745316,62
628120.4331893444,3424405.905745316,93
628120.4331893444,3424480.905745316,103
628120.4331893444,3424555.905745316,113
628120.4331893444,3424630.905745316,117
628120.4331893444,3424705.905745316,120
628120.4331893444,3424780.905745316,99
628120.4331893444,3424855.905745316,83
628120.4331893444,3424930.905745316,66
628120.4331893444,3425005.905745316,37
628120.4331893444,3425080.905745316,15
628120.4331893444,3425155.905745316,11
628120.4331893444,3425230.905745316,6
628120.4331893444,3425305.905745316,4
628120.4331893444,3425380.905745316,1
628120.4331893444,3427255.905745316,7
628120.4331893444,3427330.905745316,10
628120.4331893444,3427405.905745316,22
628120.4331893444,3427480.905745316,11
628120.4331893444,3427555.905745316,10
628120.4331893444,3427630.905745316,8
628120.4331893444,3427705.905745316,1
628120.4331893444,3428980.905745316,3
628120.4331893444,3429055.905745316,6
628120.4331893444,3429130.905745316,64
628120.4331893444,3429205.905745316,138
628120.4331893444,3429280.905745316,197
628120.4331893444,3429355.905745316,137
628120.4331893444,3429430.905745316,80
628120.4331893444,3429505.905745316,30
628120.4331893444,3429580.905745316,1
628120.4331893444,3457330.905745316,2
628120.4331893444,3457405.905745316,6
628120.4331893444,3457480.905745316,21
628120.4331893444,3457555.905745316,54
628120.4331893444,3457630.905745316,90
628120.4331893444,3457705.905745316,116
628120.4331893444,3457780.905745316,179
628120.4331893444,3457855.905745316,178
628120.4331893444,3457930.905745316,174
628120.4331893444,3458005.905745316,174
628120.4331893444,3458080.905745316,188
628120.4331893444,3458155.905745316,161
628120.4331893444,3458230.905745316,167
628120.4331893444,3458305.905745316,148
628120.4331893444,3458380.905745316,159
628120.4331893444,3458455.905745316,156
628120.4331893444,3458530.905745316,194
628120.4331893444,3458605.905745316,183
628120.4331893444,3458680.905745316,187
628120.4331893444,3458755.905745316,181
628120.4331893444,3458830.905745316,159
628120.4331893444,3458905.905745316,136
628120.4331893444,3458980.905745316,102
628120.4331893444,3459055.905745316,50
628120.4331893444,3459130.905745316,27
628120.4331893444,3459205.905745316,10
628120.4331893444,3459280.905745316,3
628120.4331893444,3459355.905745316,2
628195.4331893444,3423730.905745316,2
628195.4331893444,3423805.905745316,7
628195.4331893444,3423880.905745316,11
628195.4331893444,3423955.905745316,13
628195.4331893444,3424030.905745316,33
628195.4331893444,3424105.905745316,55
628195.4331893444,3424180.905745316,75
628195.4331893444,3424255.905745316,112
628195.4331893444,3424330.905745316,129
628195.4331893444,3424405.905745316,121
628195.4331893444,3424480.905745316,105
628195.4331893444,3424555.905745316,106
628195.4331893444,3424630.905745316,89
628195.4331893444,3424705.905745316,73
628195.4331893444,3424780.905745316,43
