file,flipped_at
LM_07_FMB_20160713_CS_MB_4713_4718,2026-09-21T21:19:48.175853+00:00
LM_07_FMB_20160714_CS_MB_4708_4713,2026-09-21T21:19:48.175853+00:00
LM_07_FMB_20160715_CS_MB_4703_4708,2026-09-21T21:19:48.175853+00:00
LM_07_FMB_20160717_CS_MB_4698_4703,2026-09-21T21:19:48.175853+00:00
LM_07_FMB_20160718_CS_MB_4693_4698,2026-09-21T21:19:48.175853+00:00
LM_07_FMB_20160719_CS_MB_4688_4693,2026-09-21T21:19:48.175853+00:00
LM_07_FMB_20160719_CS_MB_4683_4688,2026-09-21T21:19:48.175853+00:00
LM_07_FMB_20160729_CS_MB_4678_4683,2026-09-21T21:19:48.175853+00:00
LM_07_FMB_20160730_CS_MB_4673_4678,2026-09-21T21:19:48.175853+00:00
LM_07_FMB_20160730_CS_4662_4736,2026-09-21T21:19:48.175853+00:00
LM_07_FMB_20160731_CS_4608_4660,2026-09-21T21:19:48.175853+00:00
LM_07_FMB_20160801_CS_4558_4606,2026-09-21T21:19:48.175853+00:00
LM_07_FMB_20160802_CS_4530_4556,2026-09-21T21:19:48.175853+00:00
LM_06_MBV_20160807_CS_4514_4530,2026-09-21T21:19:48.175853+00:00
LM_06_MBV_20160808_CS_4462_4512,2026-09-21T21:19:48.175853+00:00
LM_06_MBV_20160809_CS_4414_4460,2026-09-21T21:19:48.175853+00:00
LM_06_MBV_20160801_CS_MB_4412_4414,2026-09-21T21:19:48.175853+00:00
LM_06_MBV_20160802_CS_MB_4407_4412,2026-09-21T21:19:48.175853+00:00
LM_06_MBV_20160802_CS_MB_4402_4407,2026-09-21T21:19:48.175853+00:00
LM_06_MBV_20160803_CS_MB_4397_4402,2026-09-21T21:19:48.175853+00:00
LM_06_MBV_20160804_CS_MB_4392_4397,2026-09-21T21:19:48.175853+00:00
LM_06_MBV_20160805_CS_MB_4387_4392,2026-09-21T21:19:48.175853+00:00
LM_06_MBV_20160806_CS_MB_4382_4387,2026-09-21T21:19:48.175853+00:00
LM_06_MBV_20160807_CS_MB_4377_4382,2026-09-21T21:19:48.175853+00:00
LM_06_MBV_20160808_CS_MB_4372_4377,2026-09-21T21:19:48.175853+00:00
LM_06_MBV_20160808_CS_MB_4367_4372,2026-09-21T21:19:48.175853+00:00
LM_06_MBV_20160809_CS_MB_4362_4367,2026-09-21T21:19:48.175853+00:00
LM_06_MBV_20160809_CS_MB_4357_4362,2026-09-21T21:19:48.175853+00:00
LM_06_MBV_20160809_CS_MB_4352_4357,2026-09-21T21:19:48.175853+00:00
LM_06_MBV_20160810_CS_MB_4350_4352,2026-09-21T21:19:48.175853+00:00
LM_05_VGG_20160819_CS_4306_4350,2026-09-21T21:19:48.175853+00:00
LM_05_VGG_20160820_CS_4266_4304,2026-09-21T21:19:48.175853+00:00
LM_05_VGG_20160821_CS_4216_4266,2026-09-21T21:19:48.175853+00:00
LM_05_VGG_20160822_CS_4162_4214,2026-09-21T21:19:48.175853+00:00
LM_05_VGG_20160823_CS_4124_4160,2026-09-21T21:19:48.175853+00:00
LM_05_VGG_20160824_CS_4076_4122,2026-09-21T21:19:48.175853+00:00
LM_04_GGK_20160816_CS_4066_4076,2026-09-21T21:19:48.175853+00:00
LM_04_GGK_20160817_CS_4018_4058,2026-09-21T21:19:48.175853+00:00
LM_04_GGK_20160818_CS_3958_4016,2026-09-21T21:19:48.175853+00:00
LM_04_GGK_20160819_CS_3910_3956,2026-09-21T21:19:48.175853+00:00
LM_04_GGK_20160820_CS_3858_3908,2026-09-21T21:19:48.175853+00:00
LM_04_GGK_20160821_CS_3820_3856,2026-09-21T21:19:48.175853+00:00
LM_03_KGC_20160826_CS_3792_3820,2026-09-21T21:19:48.175853+00:00
LM_03_KGC_20160827_CS_3758_3794,2026-09-21T21:19:48.175853+00:00
LM_03_KGC_20160828_CS_3708_3756,2026-09-21T21:19:48.175853+00:00
LM_03_KGC_20160829_CS_3660_3706,2026-09-21T21:19:48.175853+00:00
LM_02_GCG_20160829_CS_3638_3660,2026-09-21T21:19:48.175853+00:00
LM_02_GCG_20160830_CS_3584_3636,2026-09-21T21:19:48.175853+00:00
LM_02_GCG_20160831_CS_3556_3582,2026-09-21T21:19:48.175853+00:00
LM_02_GCG_20160901_CS_3512_3554,2026-09-21T21:19:48.175853+00:00
LM_02_GCG_20160902_CS_3476_3510,2026-09-21T21:19:48.175853+00:00
LM_15_CVB_20170419_CS,2026-09-21T21:48:37.658649+00:00
LM_15_CVB_20170420_CS,2026-09-21T21:48:37.658649+00:00
LM_15_CVB_20170421_CS,2026-09-21T21:48:37.658649+00:00
LM_15_CVB_20170422_CS,2026-09-21T21:48:37.658649+00:00
LM_15_CVB_20170423_CS,2026-09-21T21:48:37.658649+00:00
LM_15_CVB_20170413_CS_MB_59975_60000,2026-09-21T21:48:37.658649+00:00
LM_15_CVB_20170413_CS_MB_59925_59975,2026-09-21T21:48:37.658649+00:00
LM_15_CVB_20170414_CS_MB_59875_59925,2026-09-21T21:48:37.658649+00:00
LM_15_CVB_20170414_CS_MB_59825_59875,2026-09-21T21:48:37.658649+00:00
LM_15_CVB_20170417_CS_MB_59775_59825,2026-09-21T21:48:37.658649+00:00
LM_15_CVB_20170418_CS_MB_59725_59775,2026-09-21T21:48:37.658649+00:00
LM_15_CVB_20170418_CS_MB_59675_59725,2026-09-21T21:48:37.658649+00:00
LM_15_CVB_20170419_CS_MB_59625_59675,2026-09-21T21:48:37.658649+00:00
LM_15_CVB_20170419_CS_MB_59575_59625,2026-09-21T21:48:37.658649+00:00
LM_15_CVB_20170420_CS_MB_59525_59575,2026-09-21T21:48:37.658649+00:00
LM_15_CVB_20170421_CS_MB_59475_59525,2026-09-21T21:48:37.658649+00:00
